object	field	owner_lifetime	initializer	early_adoption	reset_destroy	copy_rule	notes
PgRuntime	kind	runtime identity	InitializePgProcessRuntime()/InitializePgThreadRuntime()	no early fallback	no destroy; runtime kind lives for runtime lifetime	scalar assigned by runtime constructor	Address-space runtime kind.
PgRuntime	current_carrier	runtime borrowed link	InitializePgProcessRuntime()/InitializePgThreadRuntime()	no early fallback	no destroy here; carrier object owns target	pointer link assigned by runtime constructor	Current carrier for the runtime.
PgRuntime	extension_backend_model	runtime owned	InitializePgProcessRuntime()/InitializePgThreadRuntime()	no early fallback	no destroy; scalar compatibility policy	scalar assigned by runtime constructor	Runtime extension backend-model compatibility policy.
PgRuntime	exit_backend	runtime callback	InitializePgProcessRuntime()/InitializePgThreadRuntime()	no early fallback	no destroy; callback target is runtime-owned code pointer	scalar assigned by runtime constructor	Optional continuation invoked after threaded backend exit cleanup.
PgRuntime	protocol_scheduler	runtime owned	PgRuntimeInitializeProtocolScheduler()	no early fallback	no destroy currently; queues are empty outside active parked/runnable backends and carrier counters live for runtime lifetime	whole bucket initialization; parked and runnable queue nodes are owned by PgBackend.protocol_park, not by the scheduler root	Phase 14/15 protocol-boundary scheduler queues, carrier counters, and resume instrumentation.
PgRuntime	server_guc	runtime owned	PgRuntimeInitializeServerGUCState()	PgRuntimeAdoptEarlyServerGUCState()	no destroy currently; runtime/server defaults live for runtime lifetime	whole bucket adoption; early fallback mirrors server GUC string slots across process/thread runtime initialization	Runtime-wide server GUC values that are not session-local.
PgRuntime	extension_modules	runtime owned	PgRuntimeInitializeExtensionModuleState()	PgRuntimeAdoptEarlyExtensionModuleState()	no destroy currently; module-wide extension state lives for runtime lifetime	whole bucket adoption; early fallback transfers module-wide context/list/hash slots into the process runtime; thread runtime copies process runtime module-wide slots during first initialization and ensures a runtime-owned extension memory context before carrier threads run	Runtime-wide in-tree extension state bridge, currently used by pg_plan_advice module context and advisor hook list, bloom relation-option name storage, and the dynamic-library rendezvous-variable hash.
PgCarrier	kind	carrier identity	InitializePgProcessRuntime()/InitializePgThreadBackendRuntimeState()	no early fallback	no destroy; carrier kind lives for carrier lifetime	scalar assigned by runtime constructor	Physical execution vehicle kind.
PgCarrier	runtime	runtime link	InitializePgProcessRuntime()/InitializePgThreadBackendRuntimeState()	no early fallback	no destroy; runtime object owns target	pointer link assigned by runtime constructor	Back-reference to owning runtime.
PgCarrier	current_backend	carrier borrowed link	InitializePgProcessRuntime()/InitializePgThreadBackendRuntimeState()	no early fallback	no destroy here; backend object owns target	pointer link assigned by runtime constructor	Currently installed logical backend for this carrier.
PgCarrier	current_session	carrier borrowed link	InitializePgProcessRuntime()/InitializePgThreadBackendRuntimeState()	no early fallback	no destroy here; session object owns target	pointer link assigned by runtime constructor	Currently installed session for this carrier.
PgCarrier	current_execution	carrier borrowed link	InitializePgProcessRuntime()/InitializePgThreadBackendRuntimeState()	no early fallback	no destroy here; execution object owns target	pointer link assigned by runtime constructor	Currently installed execution for this carrier.
PgCarrier	backend_thread_start	carrier borrowed link	zeroed with carrier	no early fallback	no destroy; launch_backend.c owns BackendThreadStart allocation	pointer link; do not free from carrier	Current native thread startup payload for thread-backed backends.
PgCarrier	is_under_postmaster	carrier owned	PgCarrierInitializeRuntimeObject() preserves early InitPostmasterChild() assignment	no early fallback	no dynamic destroy	scalar preserved across process-carrier initialization	Whether this carrier is running under the postmaster.
PgCarrier	wait_event_waiting	carrier owned	zeroed with carrier	no early fallback	no dynamic destroy	scalar wait flag	Carrier-local WaitEventSetWait wakeup flag.
PgCarrier	wait_event_signal_fd	carrier owned	PgCarrierInitializeRuntimeObject()	no early fallback	wait-event support owns descriptor lifecycle	scalar fd slot initialized to -1	Carrier-local signal self-pipe read side.
PgCarrier	wait_event_selfpipe_readfd	carrier owned	PgCarrierInitializeRuntimeObject()	no early fallback	wait-event support owns descriptor lifecycle	scalar fd slot initialized to -1	Carrier-local self-pipe read descriptor.
PgCarrier	wait_event_selfpipe_writefd	carrier owned	PgCarrierInitializeRuntimeObject()	no early fallback	wait-event support owns descriptor lifecycle	scalar fd slot initialized to -1	Carrier-local self-pipe write descriptor.
PgCarrier	wait_event_selfpipe_owner_pid	carrier owned	zeroed with carrier	no early fallback	no dynamic destroy	scalar owner pid	Owner pid associated with the carrier-local self-pipe.
PgCarrier	stack_base_ptr	carrier borrowed link	zeroed with carrier	no early fallback	no destroy; stack memory is carrier stack; backend pthreads are created with an explicit stack large enough for PostgreSQL's max_stack_depth guard	pointer link; do not free	Stack-depth check base pointer for the current carrier.
PgCarrier	threaded_guc_mutex_depth	carrier owned	zeroed with carrier	no early fallback	no dynamic destroy	scalar nesting counter	Per-carrier recursion depth for the temporary threaded GUC mutex bridge.
PgCarrier	threaded_reloptions_mutex_depth	carrier owned	zeroed with carrier	no early fallback	no dynamic destroy	scalar nesting counter	Per-carrier recursion depth for the temporary threaded reloptions mutex bridge.
PgCarrier	scheduler_execution	carrier owned	InitializePgThreadCarrierRuntimeState()/InitializePgThreadBackendRuntimeState()	no early fallback	no destroy currently; scheduler execution state lives for carrier lifetime	pointer assigned by thread carrier construction; PgExecution object is initialized with no current backend/session and must not be freed by logical backend detach	Scheduler-safe execution fallback used while a carrier has no current backend.
PgCarrier	protocol_scheduler_registered	carrier owned	zeroed with carrier; PgRuntimeProtocolSchedulerRegisterCarrier() sets it while registered	no early fallback	no dynamic destroy; PgRuntimeProtocolSchedulerUnregisterCarrier() clears it	scalar registration flag paired with PgRuntime.protocol_scheduler carrier counters	Whether this carrier is registered with the protocol scheduler.
